1899,1869,1844
1890,1741,1863
1841,1751,1867
1838,1915,1852
1807,1830,1808
1781,1805,1818
1790,1821,1831
1822,1842,1840
1840,1860,1842
1848,1827,1846
1840,1823,1859
1934,1901,1872
1890,1901,1854
1841,1806,1810
1761,1749,1811
1742,1814,1860
1814,1845,1857
1851,1875,1833
1871,1823,1838
1825,1805,1846
1783,1791,1840
1842,1723,1788
1815,1783,1848
1798,1870,1883
1780,1888,1853
1808,1852,1859
1839,1814,1860
1813,1808,1856
1841,1826,1845
1872,1859,1846
1891,1858,1856
1846,1809,1807
1861,1778,1812
1829,1822,1858
1810,1871,1897
1783,1869,1849
1791,1862,1837
1807,1821,1827
1858,1808,1856
1911,1857,1875
1840,1797,1855
1783,1773,1834
1887,1829,1869
1834,1846,1840
1759,1776,1813
1788,1777,1808
1819,1847,1852
1847,1890,1883
1849,1852,1869
1904,1856,1863
1923,1905,1850
1835,1757,1781
1747,1715,1801
1739,1808,1871
1808,1845,1899
1866,1920,1893
1856,1824,1855
1920,1805,1837
1935,1862,1854
1845,1830,1842
1781,1790,1850
1789,1823,1867
1804,1870,1869
1790,1808,1843
1813,1795,1855
1842,1792,1898
1892,1872,1856
1930,1819,1831
1828,1849,1844
1789,1862,1856
1781,1810,1850
1830,1777,1829
1850,1882,1855
1827,1863,1887
1815,1829,1878
1792,1840,1822
1814,1850,1835
1808,1778,1866
1850,1794,1842
1881,1824,1866
2032,1828,1920
1918,1811,1895
1657,1857,1831
1662,1819,1794
1773,1823,1825
1843,1834,1845
1843,1840,1858
1850,1806,1856
1829,1842,1859
1809,1867,1853
1799,1766,1795
1808,1836,1866
1843,1821,1911
1893,1884,1947
1911,1922,1856
1841,1847,1773
1795,1809,1808
1755,1818,1835
1790,1852,1840
1808,1813,1860
1934,1858,1882
1926,1785,1854
1739,1761,1808
1710,1815,1828
1776,1796,1845
1840,1822,1847
1889,1791,1845
1903,1855,1889
1887,1851,1889
1872,1793,1849
1790,1829,1835
1750,1870,1842
1795,1887,1872
1851,1875,1864
1837,1783,1850
1943,1831,1915
1979,1968,1927
1808,1823,1814
1710,1745,1776
1755,1776,1806
1838,1867,1835
1863,1731,1847
1859,1795,1872
1871,1873,1865
1967,1872,1856
1789,1755,1811
1746,1744,1856
1807,1822,1879
1855,1819,1869
1858,1782,1834
1886,1909,1872
1933,1863,1881
1813,1819,1857
1788,1841,1885
1840,1863,1855
1953,1854,1841
1850,1776,1818
1786,1782,1829
1794,1813,1849
1834,1838,1854
1903,1808,1843
1833,1835,1856
1789,1810,1839
1809,1808,1830
1858,1847,1826
1898,1862,1885
1829,1779,1895
1771,1779,1854
1801,1861,1806
1856,1758,1821
1842,1793,1856
1840,1868,1867
1840,1840,1846
1835,1841,1856
1879,1785,1854
1887,1811,1847
1879,1796,1808
1894,1848,1873
1830,1853,1885
1778,1870,1850
1859,1888,1845
1838,1767,1823
1846,1712,1835
1874,1808,1851
1864,1886,1877
1814,1859,1860
1769,1834,1835
1789,1762,1819
1821,1838,1823
1815,1780,1851
1840,1825,1907
1889,1831,1887
1888,1831,1818
1875,1795,1838
1821,1811,1871
1808,1811,1864
1797,1869,1862
1831,1790,1855
1979,1808,1840
1868,1911,1853
1744,1859,1852
1775,1761,1840
1831,1767,1843
1881,1766,1827
1968,1829,1856
1951,1923,1927
1777,1872,1866
1672,1787,1808
1759,1794,1815
1825,1787,1840
1837,1805,1858
1847,1814,1857
1821,1837,1849
1829,1824,1851
1840,1808,1842
1877,1715,1824
1866,1897,1920
1801,1921,1920
1833,1863,1859
1872,1819,1803
1825,1765,1799
1818,1809,1843
1836,1869,1861
1842,1826,1859
1879,1766,1840
1879,1843,1869
1861,1889,1871
1843,1907,1870
1830,1830,1852
1865,1808,1854
1834,1743,1840
1718,1782,1838
1808,1792,1840
1851,1811,1840
1833,1849,1858
1869,1787,1826
1835,1851,1858
1823,1886,1863
1786,1842,1862
1814,1833,1859
1840,1828,1856
1895,1774,1857
2094,1936,1917
1972,1814,1845
1584,1791,1808
1574,1775,1785
1759,1782,1819
1908,1826,1853
1844,1837,1847
1815,1883,1856
1840,1855,1857
1954,1805,1816
1967,1795,1831
1840,1838,1902
1771,1862,1881
1728,1824,1827
1781,1840,1834
1874,1814,1863
1853,1810,1869
1840,1865,1849
1840,1776,1803
1798,1747,1821
1799,1820,1897
1844,1872,1883
1872,1849,1845
1856,1825,1841
1871,1897,1866
1797,1813,1851
1766,1796,1841
1858,1775,1835
1810,1802,1870
1801,1834,1845
1864,1838,1861
1933,1856,1881
1843,1820,1875
1780,1791,1829
1745,1810,1813
1807,1829,1827
1885,1840,1840
1857,1854,1847
1865,1840,1829
1904,1823,1859
1835,1796,1862
1825,1935,1875
1793,1875,1837
1833,1863,1857
1840,1757,1834
1808,1745,1797
1764,1818,1846
1777,1845,1872
1823,1869,1866
1861,1906,1858
1904,1797,1853
1903,1808,1899
1872,1815,1875
1795,1826,1839
1799,1834,1829
1822,1828,1843
1834,1840,1867
1842,1862,1862
1859,1872,1860
1863,1877,1859
1883,1776,1857
1882,1808,1846
1858,1904,1852
1889,1840,1861
1862,1879,1888
1776,1866,1846
1731,1843,1842
1783,1835,1865
1837,1842,1870
1867,1901,1859
1887,1865,1866
1878,1893,1879
1840,1818,1869
1835,1798,1847
1825,1840,1841
1817,1825,1855
1833,1840,1869
1857,1858,1861
1870,1861,1871
1859,1861,1901
1863,1798,1867
1888,1854,1842
1913,1897,1867
1894,1830,1859
1794,1873,1879
1789,1889,1866
1809,1841,1858
1827,1794,1857
1862,1792,1843
1904,1802,1821
1806,1827,1863
1808,1808,1866
1815,1857,1862
1826,1840,1839
1840,1833,1847
1856,1808,1861
1854,1834,1858
1849,1792,1814
1835,1842,1835
1833,1804,1833
1868,1812,1856
1885,1901,1889
1808,1851,1862
1792,1783,1835
1802,1809,1835
1856,1808,1827
1843,1798,1839
1837,1807,1840
1849,1814,1842
1888,1861,1834
1857,1822,1821
1840,1790,1830
1837,1759,1839
1868,1733,1808
1862,1770,1801
1834,1795,1830
1813,1884,1877
1793,1875,1862
1829,1891,1843
1840,1805,1821
1840,1792,1851
1865,1825,1878
1850,1854,1829
1798,1808,1818
1805,1804,1826
1873,1824,1829
1895,1825,1834
1819,1788,1831
1810,1805,1840
1863,1840,1838
1854,1842,1833
1877,1831,1840
1877,1849,1830
1866,1755,1747
1844,1795,1827
1817,1791,1854
1801,1796,1857
1836,1840,1854
1831,1852,1846
1840,1835,1846
1847,1830,1852
1839,1815,1834
1820,1843,1859
1842,1820,1819
1854,1796,1808
1834,1797,1819
1853,1774,1793
1830,1851,1840
1856,1853,1846
1856,1825,1843
1849,1842,1839
1840,1842,1833
1845,1786,1797
1853,1791,1797
1857,1878,1849
1851,1899,1858
1839,1872,1848
1829,1853,1830
1831,1776,1829
1825,1744,1835
1842,1841,1878
1838,1867,1833
1822,1782,1807
1821,1777,1819
1840,1814,1840
1866,1847,1840
1862,1856,1847
1853,1825,1850
1851,1808,1825
1859,1811,1814
1878,1856,1824
1839,1813,1827
1814,1804,1840
1849,1826,1827
1908,1776,1781
1899,1782,1808
1837,1776,1845
1811,1889,1877
1840,1938,1855
1821,1794,1840
1822,1773,1863
1845,1787,1847
1847,1826,1829
1839,1827,1834
1866,1821,1853
1852,1813,1830
1790,1787,1814
1802,1789,1835
1833,1823,1840
1840,1817,1819
1852,1772,1791
1831,1835,1830
1869,1866,1855
1868,1886,1845
1836,1795,1825
1822,1754,1810
1849,1825,1842
1850,1902,1842
1840,1867,1847
1868,1867,1839
1830,1775,1830
1796,1804,1850
1815,1849,1854
1843,1827,1852
1867,1805,1847
1851,1808,1831
1852,1823,1817
1840,1764,1794
1798,1793,1841
1793,1815,1840
1815,1869,1863
1837,1849,1854
1846,1790,1829
1843,1840,1834
1829,1878,1840
1858,1849,1849
1869,1872,1840
1824,1854,1842
1802,1855,1855
1799,1816,1835
1831,1834,1840
1851,1908,1858
1852,1811,1847
1888,1808,1839
1845,1771,1830
1835,1771,1825
1803,1755,1794
1813,1707,1763
1808,1904,1863
1829,1949,1889
1829,1849,1872
1829,1769,1857
1859,1847,1855
1851,1873,1858
1826,1872,1856
1815,1840,1841
1829,1851,1847
1846,1853,1847
1827,1840,1853
1831,1810,1843
1840,1839,1829
1829,1883,1840
1827,1810,1835
1833,1779,1840
1859,1736,1801
1843,1829,1845
1819,1889,1874
1809,1874,1873
1824,1887,1839
1827,1886,1822
1825,1746,1819
1789,1758,1843
1845,1755,1829
1858,1883,1872
1812,1868,1866
1791,1814,1853
1814,1824,1852
1850,1857,1857
1823,1856,1842
1822,1817,1840
1823,1881,1839
1840,1874,1840
1862,1709,1802
1858,1857,1872
1840,1898,1901
1792,1840,1850
1776,1790,1813
1771,1760,1830
1821,1826,1845
1817,1867,1859
1801,1859,1871
1811,1820,1856
1831,1859,1847
1829,1874,1840
1808,1840,1840
1821,1872,1847
1839,1852,1844
1857,1856,1850
1846,1885,1857
1842,1817,1851
1851,1823,1842
1817,1839,1827
1788,1785,1808
1810,1753,1793
1799,1811,1868
1809,1869,1890
1791,1867,1863
1808,1861,1855
1842,1886,1851
1809,1803,1846
1835,1769,1824
1819,1839,1834
1825,1828,1863
1797,1873,1870
1798,1857,1846
1812,1808,1842
1819,1839,1850
1841,1871,1854
1856,1867,1853
1811,1811,1837
1794,1807,1835
1815,1840,1846
1849,1839,1840
1865,1754,1803
1854,1873,1861
1805,1903,1872
1783,1847,1858
1796,1864,1872
1818,1840,1856
1830,1834,1840
1839,1813,1849
1827,1797,1851
1819,1856,1855
1815,1879,1846
1849,1823,1825
1812,1770,1825
1809,1760,1856
1791,1836,1873
1827,1872,1862
1853,1811,1840
1815,1787,1840
1809,1798,1839
1830,1862,1870
1809,1847,1898
1808,1860,1888
1817,1895,1871
1808,1917,1861
1809,1795,1854
1806,1757,1847
1813,1789,1849
1842,1821,1852
1837,1821,1841
1853,1821,1857
1856,1786,1837
1837,1856,1852
1811,1893,1851
1792,1797,1835
1806,1808,1821
1846,1828,1840
1864,1898,1890
1801,1893,1879
1774,1874,1856
1813,1867,1849
1807,1828,1840
1813,1840,1849
1814,1840,1859
1840,1859,1863
1829,1840,1856
1836,1855,1843
1845,1887,1843
1859,1793,1829
1851,1808,1850
1838,1851,1865
1834,1867,1856
1826,1805,1824
1840,1596,1756
1846,1854,1876
1792,1930,1893
1802,1887,1857
1827,1821,1825
1784,1840,1869
1798,1839,1863
1817,1831,1850
1824,1792,1840
1810,1811,1847
1840,1843,1857
1838,1856,1856
1840,1894,1856
1831,1841,1855
1829,1825,1851
1840,1829,1856
1805,1847,1856
1822,1815,1853
1827,1842,1851
1840,1841,1851
1862,1763,1817
1881,1728,1798
1814,1872,1862
1775,1936,1884
1762,1850,1872
1767,1809,1869
1808,1833,1856
1819,1853,1853
1821,1871,1862
1811,1819,1852
1840,1808,1845
1826,1838,1855
1809,1837,1851
1819,1839,1855
1837,1835,1856
1831,1856,1851
1815,1843,1843
1839,1859,1849
1834,1824,1840
1806,1765,1843
1808,1791,1859
1825,1776,1846
1898,1744,1808
1810,1867,1887
1777,1869,1882
1824,1855,1860
1820,1874,1853
1808,1859,1860
1820,1851,1875
1825,1850,1865
1818,1876,1839
1840,1847,1846
1830,1826,1870
1807,1823,1869
1821,1826,1851
1838,1834,1846
1821,1835,1840
1799,1799,1859
1822,1774,1841
1819,1745,1808
1808,1811,1839
1806,1845,1872
1805,1841,1887
1822,1827,1862
1794,1838,1856
1810,1829,1859
1840,1858,1849
1831,1840,1850
1838,1854,1857
1830,1825,1856
1807,1818,1853
1811,1853,1861
1835,1840,1853
1823,1824,1840
1831,1812,1840
1807,1858,1855
1792,1885,1856
1819,1829,1856
1831,1838,1847
1826,1846,1850
1810,1790,1841
1811,1842,1845
1829,1851,1818
1840,1808,1867
1781,1787,1898
1770,1873,1858
1802,1761,1831
1827,1815,1862
1810,1822,1872
1815,1840,1868
1847,1858,1867
1823,1840,1853
1829,1825,1854
1825,1827,1859
1827,1815,1857
1873,1870,1859
1805,1847,1851
1780,1823,1854
1834,1850,1845
1840,1847,1835
1808,1808,1808
1834,1814,1822
1815,1855,1887
1815,1866,1904
1821,1835,1863
1821,1863,1840
1825,1783,1840
1835,1749,1841
1836,1791,1874
1822,1861,1857
1809,1895,1842
1806,1853,1830
1823,1835,1829
1814,1817,1855
1813,1840,1856
1825,1830,1845
1834,1826,1842
1840,1834,1844
1856,1837,1826
1843,1849,1823
1837,1743,1799
1813,1883,1901
1800,1890,1885
1797,1863,1855
1814,1842,1848
1861,1902,1846
1867,1868,1873
1850,1792,1853
1791,1785,1828
1787,1779,1834
1809,1821,1851
1830,1822,1879
1817,1839,1856
1824,1830,1835
1840,1830,1825
1835,1891,1837
1822,1839,1846
1883,1859,1875
1879,1855,1866
1808,1835,1840
1780,1770,1815
1822,1715,1776
1827,1824,1836
1834,1925,1881
1810,1882,1881
1803,1839,1872
1839,1840,1853
1839,1840,1843
1854,1843,1856
1838,1873,1861
1829,1852,1840
1815,1825,1855
1826,1815,1840
1859,1840,1818
1859,1863,1846
1851,1776,1850
1808,1745,1841
1840,1842,1847
1825,1887,1874
1819,1863,1869
1824,1793,1837
1834,1735,1790
1818,1854,1839
1778,1873,1872
1779,1862,1867
1822,1858,1842
1832,1828,1845
1824,1803,1845
1835,1791,1847
1834,1833,1870
1829,1904,1857
1808,1882,1839
1815,1815,1847
1826,1819,1856
1833,1811,1856
1825,1836,1854
1811,1842,1840
1819,1797,1840
1847,1814,1861
1857,1840,1857
1831,1840,1857
1827,1855,1849
1841,1762,1776
1845,1791,1808
1791,1889,1904
1824,1858,1894
1817,1866,1887
1823,1861,1857
1822,1846,1853
1856,1827,1850
1823,1826,1846
1792,1852,1847
1808,1804,1842
1809,1811,1851
1827,1863,1853
1841,1904,1843
1831,1776,1842
1856,1797,1840
1835,1818,1842
1810,1835,1840
1840,1839,1841
1817,1777,1817
1808,1744,1822
1808,1803,1840
1811,1834,1867
1835,1782,1826
1859,1840,1839
1831,1874,1872
1798,1854,1872
1799,1863,1863
1819,1869,1841
1833,1821,1840
1824,1781,1857
1855,1855,1877
1872,1852,1842
1847,1830,1837
1816,1808,1825
1813,1840,1837
1830,1838,1841
1837,1830,1824
1836,1769,1822
1854,1754,1830
1835,1877,1848
1813,1824,1843
1793,1808,1847
1808,1827,1857
1837,1801,1829
1850,1797,1798
1818,1810,1825
1806,1849,1887
1838,1859,1885
1867,1881,1853
1867,1788,1831
1837,1835,1850
1791,1858,1851
1803,1846,1845
1840,1881,1871
1875,1841,1870
1831,1799,1834
1808,1790,1840
1807,1811,1840
1812,1833,1855
1840,1831,1834
1837,1808,1839
1831,1799,1854
1826,1835,1856
1813,1871,1840
1831,1808,1830
1845,1775,1825
1857,1802,1830
1855,1813,1855
1818,1883,1873
1825,1857,1872
1833,1852,1862
1840,1840,1807
1795,1804,1834
1793,1829,1881
1808,1869,1886
1824,1823,1864
1840,1823,1859
1840,1839,1851
1855,1843,1850
1835,1843,1825
1808,1791,1829
1806,1802,1841
1825,1903,1859
1834,1872,1851
1809,1838,1843
1805,1777,1838
1827,1763,1813
1868,1840,1809
1861,1863,1840
1849,1831,1882
1822,1798,1874
1814,1872,1872
1805,1837,1846
1808,1827,1841
1829,1842,1857
1851,1840,1831
1840,1761,1815
1793,1845,1866
1801,1877,1875
1840,1871,1861
1867,1842,1845
1813,1811,1846
1813,1822,1851
1841,1855,1845
1826,1872,1852
1839,1901,1829
1817,1766,1835
1829,1804,1858
1868,1869,1872
1853,1819,1817
1831,1776,1834
1837,1850,1858
1821,1847,1869
1801,1817,1847
1822,1806,1839
1815,1796,1828
1808,1845,1845
1798,1831,1846
1807,1840,1853
1834,1851,1843
1851,1865,1847
1849,1834,1848
1853,1862,1856
1853,1874,1855
1842,1840,1850
1809,1839,1847
1851,1834,1840
1876,1840,1837
1849,1786,1790
1793,1759,1776
1765,1862,1879
1791,1895,1905
1835,1835,1860
1829,1791,1853
1855,1841,1854
1827,1815,1831
1808,1842,1840
1823,1743,1829
1807,1843,1845
1824,1898,1861
1835,1856,1855
1860,1820,1843
1859,1856,1849
1834,1857,1840
1809,1828,1835
1795,1814,1839
1819,1846,1851
1829,1841,1840
1870,1792,1791
1846,1814,1838
1795,1849,1891
1783,1870,1871
1825,1843,1857
1862,1824,1858
1877,1926,1867
1831,1907,1823
1831,1763,1815
1809,1729,1830
1813,1808,1858
1831,1771,1812
1816,1853,1835
1840,1856,1905
1875,1878,1899
1833,1767,1770
1777,1808,1772
1799,1821,1845
1819,1845,1862
1905,1936,1890
1894,1923,1846
1863,1879,1823
1845,1840,1843
1818,1795,1859
1820,1859,1808
1815,1797,1799
1808,1808,1823
1855,1807,1846
1941,1805,1792
1872,1834,1834
1811,1889,1839
1834,1854,1798
1839,1885,1887
1823,1824,1850
