1835,1867,1899
1820,1889,1897
1839,1859,1840
1854,1872,1837
1843,1899,1902
1831,1894,1879
1838,1869,1819
1870,1862,1842
1859,1915,1920
1851,1919,1906
1870,1853,1840
1879,1843,1861
1847,1894,1850
1849,1891,1907
1873,1862,1836
1894,1872,1856
1862,1906,1859
1847,1894,1879
1881,1861,1857
1904,1891,1895
1872,1909,1930
1846,1875,1909
1882,1846,1842
1912,1868,1861
1872,1904,1900
1843,1921,1911
1872,1856,1856
1919,1867,1840
1885,1894,1971
1848,1885,1875
1886,1841,1852
1911,1866,1809
1882,1895,1853
1859,1904,1963
1891,1867,1841
1933,1885,1861
1900,1919,1936
1877,1911,1921
1902,1866,1854
1919,1887,1862
1892,1930,1920
1879,1904,1916
1909,1859,1874
1935,1873,1871
1908,1903,1936
1883,1895,1934
1902,1870,1853
1921,1871,1866
1903,1894,1936
1888,1883,1918
1904,1860,1855
1923,1872,1837
1897,1894,1891
1879,1877,1897
1902,1855,1843
1922,1872,1869
1899,1901,1930
1899,1893,1919
1913,1837,1861
1929,1871,1885
1897,1904,1930
1891,1873,1907
1911,1827,1853
1923,1843,1891
1905,1872,1936
1894,1882,1918
1921,1860,1878
1940,1872,1894
1914,1896,1943
1893,1885,1919
1913,1842,1873
1926,1853,1877
1904,1881,1978
1891,1871,1987
1893,1843,1879
1867,1863,1919
1877,1898,1970
1889,1871,1933
1925,1833,1899
1941,1859,1893
1905,1879,1872
1889,1859,1847
1647,1835,1866
1742,1870,1906
510,1886,1962
785,1899,1938
1807,1838,1886
2080,1840,1857
1706,1887,2025
1003,1870,1950
1402,1822,1904
2758,1842,1920
2422,1874,1957
1876,1859,1939
1665,1849,1887
1813,1850,1870
1872,1871,1948
1855,1866,1938
1840,1838,1872
1833,1849,1887
1835,1881,1948
1840,1845,1936
1835,1830,1873
1838,1842,1877
1833,1866,1950
1830,1846,1931
1827,1825,1872
1828,1843,1942
1831,1872,1984
1829,1868,1913
1836,1841,1870
1835,1861,1879
1834,1882,1934
1806,1871,1921
1842,1853,1869
1840,1854,1891
1845,1879,1979
1879,1829,1938
1921,1835,1865
1946,1862,1871
1937,1877,1913
1948,1865,1891
1984,1838,1862
1995,1867,1882
1987,1879,1908
1983,1853,1911
2007,1841,1855
1856,1865,1878
1874,1882,1927
2001,1857,1907
2082,1839,1847
2095,1871,1872
2064,1889,1915
2047,1847,1899
2079,1824,1850
2092,1852,1871
2074,1886,1919
2070,1841,1913
2083,1823,1851
2097,1862,1849
2084,1882,1906
