1818,1805,1792
1761,1793,1823
1803,1803,1851
1823,1824,1866
1854,1824,1873
1818,1805,1808
1821,1809,1794
1802,1835,1870
1834,1805,1854
1835,1802,1822
1903,1845,1869
1901,1850,1895
1789,1809,1839
1776,1791,1808
1877,1817,1841
1797,1814,1854
1755,1792,1838
1826,1808,1829
1830,1813,1839
1808,1804,1810
1771,1786,1805
1756,1791,1813
1819,1824,1856
1840,1829,1856
1821,1787,1805
1809,1759,1781
1859,1803,1821
1825,1820,1845
1783,1799,1837
1770,1763,1824
1749,1776,1812
1794,1807,1815
1822,1799,1786
1792,1759,1759
1809,1798,1862
1769,1806,1822
1767,1776,1763
1854,1792,1823
1808,1796,1870
1790,1824,1862
1777,1757,1751
1725,1746,1744
1781,1768,1776
1824,1781,1829
1728,1790,1810
1723,1771,1814
1841,1813,1869
1817,1809,1845
1757,1776,1791
1763,1745,1791
1808,1803,1833
1867,1808,1808
1791,1776,1791
1718,1762,1815
1751,1783,1853
1796,1820,1872
1819,1808,1855
1830,1795,1829
1781,1799,1821
1798,1807,1847
1821,1795,1796
1813,1802,1806
1838,1851,1879
1781,1833,1849
1747,1794,1840
1777,1769,1815
1858,1842,1890
1840,1842,1881
1809,1783,1801
1807,1810,1822
1781,1840,1867
1814,1840,1884
1792,1782,1812
1791,1775,1808
1829,1840,1867
1847,1868,1879
1904,1840,1841
1857,1815,1870
1806,1834,1850
1778,1810,1853
1767,1786,1831
1830,1802,1846
1811,1837,1899
1844,1872,1905
1868,1833,1842
1819,1793,1823
1808,1821,1895
1847,1883,1913
1844,1858,1840
1811,1793,1808
1892,1843,1917
1839,1859,1907
1761,1819,1840
1745,1801,1787
1847,1829,1844
1915,1851,1894
1840,1843,1891
1805,1850,1899
1794,1849,1855
1816,1840,1853
1813,1823,1827
1840,1829,1839
1872,1851,1858
1879,1875,1840
1865,1839,1830
1842,1816,1840
1845,1836,1870
1803,1830,1893
1791,1828,1841
1808,1798,1833
1821,1825,1856
1764,1842,1883
1759,1829,1856
1809,1809,1843
1873,1842,1873
1937,1856,1854
1856,1809,1811
1760,1810,1849
1753,1837,1863
1795,1848,1860
1804,1795,1778
1803,1812,1818
1814,1841,1861
1803,1843,1835
1830,1793,1782
1817,1807,1799
1806,1824,1850
1809,1861,1898
1795,1834,1862
1778,1792,1802
1855,1807,1804
1842,1823,1834
1819,1861,1911
1744,1821,1841
1767,1835,1825
1872,1870,1833
1856,1833,1814
1773,1790,1831
1778,1842,1842
1831,1853,1840
1847,1824,1800
1829,1824,1823
1834,1840,1867
1775,1840,1846
1796,1842,1843
1807,1831,1846
1832,1867,1904
1817,1867,1868
1860,1843,1814
1809,1823,1807
1833,1853,1845
1813,1856,1847
1829,1815,1809
1833,1794,1805
1806,1854,1878
1834,1838,1891
1803,1886,1877
1847,1898,1840
1865,1883,1839
1787,1811,1884
1795,1892,1879
1865,1838,1840
1929,1884,1885
1905,1876,1892
1818,1731,1789
1763,1809,1791
1811,1874,1876
1873,1915,1886
1777,1776,1831
1763,1823,1803
