Rank;Feature_Name;Importance_Score
1;NOW_CH1_WL;0.049698
2;PAST_CH1_WL;0.042162
3;NOW_CH1_MAV;0.042135
4;NOW_CH1_RMS;0.04113
5;NOW_CH1_VAR;0.039536
6;NOW_CH2_WL;0.034818
7;NOW_CH2_MAV;0.032048
8;NOW_CH2_VAR;0.031758
9;PAST_CH1_MAV;0.030483
10;NOW_CH2_RMS;0.030462
11;PAST_CH2_WL;0.030278
12;NOW_CH3_WL;0.026529
13;NOW_CH1_P2P;0.026114
14;PAST_CH1_RMS;0.025655
15;NOW_CH3_MAV;0.025302
16;NOW_CH2_ZC;0.024477
17;PAST_CH2_MAV;0.024321
18;NOW_CH3_RMS;0.02407
19;PAST_CH3_WL;0.023799
20;PAST_CH2_ZC;0.02363
21;PAST_CH2_VAR;0.023448
22;NOW_CH2_P2P;0.023219
23;NOW_CH3_VAR;0.023086
24;PAST_CH2_RMS;0.022982
25;PAST_CH1_VAR;0.022653
26;PAST_CH2_P2P;0.022537
27;PAST_CH3_RMS;0.022515
28;NOW_CH1_ZC;0.022411
29;PAST_CH3_VAR;0.021818
30;PAST_CH1_ZC;0.021708
31;PAST_CH3_MAV;0.02119
32;NOW_CH3_P2P;0.020377
33;PAST_CH3_P2P;0.019172
34;PAST_CH1_P2P;0.019027
35;NOW_CH3_ZC;0.014726
36;PAST_CH3_ZC;0.011341
37;PAST_CH2_SSC;0.007939
38;PAST_CH1_SSC;0.007206
39;NOW_CH2_SSC;0.00699
40;NOW_CH1_SSC;0.006529
41;NOW_CH3_SSC;0.00536
42;PAST_CH3_SSC;0.00536
